Timestamp,Time,Temperature(C), Humidity(%), Moisture(%)
2025-04-08T17:18:41.342033,5:18 pm,16,64,0
2025-04-08T17:18:42.913214,5:18 pm,16,64,0
2025-04-08T17:18:44.481395,5:18 pm,16,64,0
2025-04-08T17:18:46.050981,5:18 pm,16,64,0
2025-04-08T17:18:47.618645,5:18 pm,16,64,67
2025-04-08T17:18:49.188144,5:18 pm,16,64,69
2025-04-08T17:18:50.758298,5:18 pm,16,64,68
2025-04-08T17:18:52.328154,5:18 pm,16,64,64
2025-04-08T17:18:53.901382,5:18 pm,16,64,67
2025-04-08T17:18:55.465759,5:18 pm,16,64,60
2025-04-08T17:18:57.042933,5:18 pm,16,64,56
2025-04-08T17:18:58.618561,5:18 pm,16,64,58
2025-04-08T17:19:00.179061,5:19 pm,16,64,59
2025-04-08T17:19:01.742899,5:19 pm,16,64,61
2025-04-08T17:19:03.320047,5:19 pm,16,64,61
2025-04-08T17:19:04.896716,5:19 pm,16,64,63
2025-04-08T17:19:06.465930,5:19 pm,16,64,61
2025-04-08T17:19:08.019552,5:19 pm,16,64,63
2025-04-08T17:19:09.590439,5:19 pm,16,64,61
2025-04-08T17:19:11.171816,5:19 pm,16,64,61
2025-04-08T17:19:12.738160,5:19 pm,16,64,60
2025-04-08T17:19:14.314017,5:19 pm,16,64,60
2025-04-08T17:19:15.877407,5:19 pm,16,64,54
2025-04-08T17:19:17.451421,5:19 pm,16,64,53
2025-04-08T17:19:19.015843,5:19 pm,16,64,50
2025-04-08T17:19:20.582175,5:19 pm,16,64,50
2025-04-08T17:19:22.160931,5:19 pm,16,64,48
2025-04-08T17:19:23.729897,5:19 pm,16,64,51
2025-04-08T17:19:25.298759,5:19 pm,16,64,48
2025-04-08T17:19:26.860793,5:19 pm,16,64,50
2025-04-08T17:19:28.428915,5:19 pm,16,64,47
2025-04-08T17:19:29.997223,5:19 pm,16,64,48
2025-04-08T17:19:31.573710,5:19 pm,16,64,45
2025-04-08T17:19:33.146192,5:19 pm,16,64,46
2025-04-08T17:19:34.708373,5:19 pm,16,64,44
2025-04-08T17:19:36.282405,5:19 pm,16,64,45
2025-04-08T17:19:37.847858,5:19 pm,16,65,43
2025-04-08T17:19:39.424301,5:19 pm,16,65,43
2025-04-08T17:19:40.985143,5:19 pm,16,65,41
2025-04-08T17:19:42.562096,5:19 pm,16,65,42
2025-04-08T17:19:44.131396,5:19 pm,16,65,40
2025-04-08T17:19:45.692588,5:19 pm,16,65,43
2025-04-08T17:19:47.270848,5:19 pm,16,65,40
2025-04-08T17:19:48.835737,5:19 pm,16,65,42
2025-04-08T17:19:50.401132,5:19 pm,16,65,39
2025-04-08T17:19:51.982544,5:19 pm,16,65,43
2025-04-08T17:19:53.549423,5:19 pm,16,65,39
2025-04-08T17:19:55.118225,5:19 pm,16,65,40
2025-04-08T17:19:56.674161,5:19 pm,16,65,39
2025-04-08T17:19:58.257575,5:19 pm,16,65,40
2025-04-08T17:19:59.827515,5:19 pm,16,65,38
2025-04-08T17:20:01.399235,5:20 pm,16,65,40
2025-04-08T17:20:02.964633,5:20 pm,16,65,37
2025-04-08T17:20:04.536121,5:20 pm,16,65,41
2025-04-08T17:20:06.105174,5:20 pm,16,65,37
2025-04-08T17:20:07.678100,5:20 pm,16,65,39
2025-04-08T17:20:09.246171,5:20 pm,16,65,37
2025-04-08T17:20:10.815282,5:20 pm,16,65,40
2025-04-08T17:20:12.382417,5:20 pm,16,65,38
2025-04-08T17:20:13.952364,5:20 pm,16,65,36
2025-04-08T17:20:15.525629,5:20 pm,16,65,39
2025-04-08T17:20:17.094295,5:20 pm,16,65,38
2025-04-08T17:20:18.662572,5:20 pm,16,65,37
2025-04-08T17:20:20.227563,5:20 pm,16,65,39
2025-04-08T17:20:21.798473,5:20 pm,16,65,36
2025-04-08T17:20:23.365906,5:20 pm,16,65,37
2025-04-08T17:20:24.935796,5:20 pm,16,65,39
2025-04-08T17:20:26.504172,5:20 pm,16,65,36
2025-04-08T17:20:28.074371,5:20 pm,16,65,38
2025-04-08T17:20:29.643309,5:20 pm,16,65,37
2025-04-08T17:20:31.215757,5:20 pm,16,64,36
2025-04-08T17:20:32.789421,5:20 pm,16,64,37
2025-04-08T17:20:34.349748,5:20 pm,16,64,36
2025-04-08T17:20:35.915208,5:20 pm,16,64,37
2025-04-08T17:20:37.482493,5:20 pm,16,64,35
2025-04-08T17:20:39.057668,5:20 pm,16,64,37
2025-04-08T17:20:40.622931,5:20 pm,16,64,34
2025-04-08T17:20:42.197419,5:20 pm,16,64,37
2025-04-08T17:20:43.768446,5:20 pm,16,64,33
2025-04-08T17:20:45.332305,5:20 pm,16,64,37
2025-04-08T17:20:46.897683,5:20 pm,16,64,33
2025-04-08T17:20:48.476513,5:20 pm,16,64,37
2025-04-08T17:20:50.048124,5:20 pm,16,64,34
2025-04-08T17:20:51.617543,5:20 pm,16,64,35
2025-04-08T17:20:53.180891,5:20 pm,16,64,35
2025-04-08T17:20:54.754930,5:20 pm,16,64,33
2025-04-08T17:20:56.315433,5:20 pm,16,64,36
2025-04-08T17:20:57.899581,5:20 pm,16,64,34
2025-04-08T17:20:59.469241,5:20 pm,16,64,34
2025-04-08T17:21:01.033560,5:21 pm,16,64,36
2025-04-08T17:21:02.592085,5:21 pm,16,64,32
2025-04-08T17:21:04.164259,5:21 pm,16,64,36
2025-04-08T17:21:05.746843,5:21 pm,16,64,32
2025-04-08T17:21:07.315516,5:21 pm,16,64,36
