Timestamp,Time,Temperature(C), Humidity(%), Moisture(%)
2025-04-08T17:44:36.857280,05:44 PM,16.0,67.0,17.0
2025-04-08T17:44:38.419789,05:44 PM,16.0,67.0,19.0
2025-04-08T17:44:39.989398,05:44 PM,16.0,66.0,20.0
2025-04-08T17:44:41.570609,05:44 PM,16.0,66.0,20.0
2025-04-08T17:44:43.126623,05:44 PM,16.0,67.0,20.0
2025-04-08T17:44:44.695544,05:44 PM,16.0,67.0,20.0
2025-04-08T17:44:46.278678,05:44 PM,16.0,67.0,71.0
2025-04-08T17:44:47.850264,05:44 PM,16.0,67.0,62.0
2025-04-08T17:44:49.417723,05:44 PM,16.0,67.0,70.0
2025-04-08T17:44:50.983118,05:44 PM,16.0,66.0,69.0
2025-04-08T17:44:52.541106,05:44 PM,16.0,66.0,69.0
2025-04-08T17:44:54.126122,05:44 PM,16.0,66.0,65.0
2025-04-08T17:44:55.697373,05:44 PM,16.0,66.0,62.0
2025-04-08T17:44:57.264009,05:44 PM,16.0,66.0,62.0
2025-04-08T17:44:58.834743,05:44 PM,16.0,66.0,63.0
2025-04-08T17:45:00.403505,05:45 PM,16.0,66.0,62.0
2025-04-08T17:45:01.976301,05:45 PM,16.0,66.0,67.0
2025-04-08T17:45:03.542312,05:45 PM,16.0,66.0,69.0
2025-04-08T17:45:05.113446,05:45 PM,16.0,66.0,72.0
2025-04-08T17:45:06.682835,05:45 PM,16.0,66.0,68.0
2025-04-08T17:45:08.255387,05:45 PM,16.0,66.0,67.0
2025-04-08T17:45:09.813753,05:45 PM,16.0,66.0,76.0
2025-04-08T17:45:11.386105,05:45 PM,16.0,66.0,74.0
2025-04-08T17:45:12.956404,05:45 PM,16.0,66.0,73.0
2025-04-08T17:45:14.524546,05:45 PM,16.0,66.0,73.0
2025-04-08T17:45:16.096554,05:45 PM,16.0,66.0,79.0
2025-04-08T17:45:17.667546,05:45 PM,16.0,66.0,78.0
2025-04-08T17:45:19.230100,05:45 PM,16.0,66.0,81.0
2025-04-08T17:45:20.796649,05:45 PM,16.0,66.0,82.0
2025-04-08T17:45:22.367627,05:45 PM,16.0,66.0,86.0
2025-04-08T17:45:23.937820,05:45 PM,16.0,66.0,86.0
2025-04-08T17:45:25.507224,05:45 PM,16.0,66.0,83.0
2025-04-08T17:45:27.087797,05:45 PM,16.0,66.0,84.0
2025-04-08T17:45:28.645574,05:45 PM,16.0,66.0,86.0
2025-04-08T17:45:30.227643,05:45 PM,16.0,66.0,85.0
2025-04-08T17:45:31.783320,05:45 PM,16.0,66.0,83.0
2025-04-08T17:45:33.362621,05:45 PM,16.0,66.0,90.0
2025-04-08T17:45:34.934550,05:45 PM,16.0,67.0,90.0
2025-04-08T17:45:36.507156,05:45 PM,16.0,67.0,86.0
2025-04-08T17:45:38.076493,05:45 PM,16.0,67.0,83.0
2025-04-08T17:45:39.645203,05:45 PM,16.0,66.0,85.0
2025-04-08T17:45:41.199531,05:45 PM,16.0,66.0,85.0
2025-04-08T17:45:42.768253,05:45 PM,16.0,66.0,89.0
2025-04-08T17:45:44.352978,05:45 PM,16.0,66.0,84.0
2025-04-08T17:45:45.922802,05:45 PM,16.0,66.0,89.0
2025-04-08T17:45:47.492259,05:45 PM,16.0,66.0,81.0
2025-04-08T17:45:49.061038,05:45 PM,16.0,66.0,86.0
2025-04-08T17:45:50.626086,05:45 PM,16.0,66.0,85.0
2025-04-08T17:45:52.195138,05:45 PM,16.0,66.0,86.0
2025-04-08T17:45:53.768410,05:45 PM,16.0,66.0,85.0
2025-04-08T17:45:55.337917,05:45 PM,16.0,66.0,88.0
2025-04-08T17:45:56.901638,05:45 PM,16.0,66.0,89.0
2025-04-08T17:45:58.472083,05:45 PM,16.0,66.0,89.0
2025-04-08T17:46:00.047831,05:46 PM,16.0,66.0,89.0
2025-04-08T17:46:01.609339,05:46 PM,16.0,66.0,89.0
2025-04-08T17:46:03.179226,05:46 PM,16.0,66.0,89.0
2025-04-08T17:46:04.747427,05:46 PM,16.0,66.0,89.0
2025-04-08T17:46:06.325245,05:46 PM,16.0,66.0,88.0
2025-04-08T17:46:07.887515,05:46 PM,16.0,66.0,88.0
2025-04-08T17:46:09.456169,05:46 PM,16.0,66.0,88.0
2025-04-08T17:46:11.026121,05:46 PM,16.0,66.0,85.0
2025-04-08T17:46:12.594338,05:46 PM,16.0,66.0,84.0
2025-04-08T17:46:14.162871,05:46 PM,16.0,66.0,82.0
2025-04-08T17:46:15.736566,05:46 PM,16.0,66.0,84.0
2025-04-08T17:46:17.305935,05:46 PM,16.0,66.0,84.0
2025-04-08T17:46:18.871621,05:46 PM,16.0,66.0,84.0
2025-04-08T17:46:20.451032,05:46 PM,16.0,65.0,83.0
