Timestamp,Time,Temperature(C), Humidity(%), Moisture(%)
2025-04-09T07:36:35.867575,07:36 AM,15.0,64.0,51.0
2025-04-09T07:36:37.435499,07:36 AM,15.0,64.0,50.0
2025-04-09T07:36:39.006697,07:36 AM,15.0,64.0,51.0
2025-04-09T07:36:40.573241,07:36 AM,15.0,64.0,51.0
2025-04-09T07:36:42.148358,07:36 AM,15.0,64.0,51.0
2025-04-09T07:36:43.712338,07:36 AM,15.0,64.0,49.0
2025-04-09T07:36:45.285206,07:36 AM,15.0,64.0,49.0
2025-04-09T07:36:46.850046,07:36 AM,15.0,64.0,48.0
2025-04-09T07:36:48.419416,07:36 AM,15.0,64.0,48.0
2025-04-09T07:36:49.995879,07:36 AM,15.0,64.0,45.0
2025-04-09T07:36:51.567900,07:36 AM,15.0,64.0,49.0
2025-04-09T07:36:53.121927,07:36 AM,15.0,64.0,54.0
2025-04-09T07:36:54.706056,07:36 AM,15.0,64.0,57.0
2025-04-09T07:36:56.261605,07:36 AM,15.0,64.0,55.0
2025-04-09T07:36:57.846089,07:36 AM,15.0,64.0,55.0
2025-04-09T07:36:59.415863,07:36 AM,15.0,64.0,54.0
2025-04-09T07:37:00.984477,07:37 AM,15.0,64.0,54.0
2025-04-09T07:37:02.550332,07:37 AM,15.0,64.0,53.0
2025-04-09T07:37:04.122161,07:37 AM,15.0,64.0,54.0
2025-04-09T07:37:05.692136,07:37 AM,15.0,64.0,54.0
2025-04-09T07:37:07.262430,07:37 AM,15.0,64.0,54.0
2025-04-09T07:37:08.830290,07:37 AM,15.0,64.0,54.0
2025-04-09T07:37:10.400670,07:37 AM,15.0,64.0,54.0
2025-04-09T07:37:11.969216,07:37 AM,15.0,64.0,54.0
2025-04-09T07:37:13.541246,07:37 AM,15.0,64.0,53.0
2025-04-09T07:37:15.108337,07:37 AM,15.0,64.0,53.0
2025-04-09T07:37:16.677939,07:37 AM,15.0,64.0,53.0
2025-04-09T07:37:18.247458,07:37 AM,15.0,64.0,52.0
2025-04-09T07:37:19.814583,07:37 AM,15.0,64.0,55.0
2025-04-09T07:37:21.389896,07:37 AM,15.0,64.0,55.0
2025-04-09T07:37:22.958543,07:37 AM,15.0,64.0,56.0
2025-04-09T07:37:24.523270,07:37 AM,15.0,64.0,55.0
2025-04-09T07:37:26.092910,07:37 AM,15.0,64.0,55.0
2025-04-09T07:37:27.668347,07:37 AM,15.0,64.0,55.0
2025-04-09T07:37:29.237659,07:37 AM,15.0,64.0,56.0
2025-04-09T07:37:30.805543,07:37 AM,15.0,64.0,56.0
2025-04-09T07:37:32.374494,07:37 AM,15.0,64.0,55.0
2025-04-09T07:37:33.932602,07:37 AM,15.0,64.0,56.0
2025-04-09T07:37:35.508108,07:37 AM,15.0,64.0,55.0
2025-04-09T07:37:37.072729,07:37 AM,15.0,64.0,56.0
2025-04-09T07:37:38.642176,07:37 AM,15.0,64.0,55.0
2025-04-09T07:37:40.220957,07:37 AM,15.0,64.0,56.0
2025-04-09T07:37:41.785517,07:37 AM,15.0,64.0,55.0
2025-04-09T07:37:43.348498,07:37 AM,15.0,64.0,55.0
2025-04-09T07:37:44.924264,07:37 AM,15.0,64.0,55.0
2025-04-09T07:37:46.486727,07:37 AM,15.0,64.0,55.0
2025-04-09T07:37:48.065799,07:37 AM,15.0,64.0,55.0
2025-04-09T07:37:49.640508,07:37 AM,15.0,64.0,57.0
2025-04-09T07:37:51.197228,07:37 AM,15.0,64.0,56.0
2025-04-09T07:37:52.774144,07:37 AM,15.0,64.0,57.0
2025-04-09T07:37:54.351083,07:37 AM,15.0,64.0,56.0
2025-04-09T07:37:55.920104,07:37 AM,15.0,64.0,56.0
2025-04-09T07:37:57.488247,07:37 AM,15.0,64.0,56.0
2025-04-09T07:37:59.057789,07:37 AM,15.0,64.0,56.0
2025-04-09T07:38:00.626793,07:38 AM,15.0,64.0,54.0
2025-04-09T07:38:02.196846,07:38 AM,15.0,64.0,55.0
2025-04-09T07:38:03.768759,07:38 AM,15.0,64.0,56.0
2025-04-09T07:38:05.337312,07:38 AM,15.0,64.0,57.0
2025-04-09T07:38:06.904787,07:38 AM,15.0,64.0,57.0
2025-04-09T07:38:08.479378,07:38 AM,15.0,64.0,58.0
2025-04-09T07:38:10.042814,07:38 AM,15.0,64.0,58.0
2025-04-09T07:38:11.616596,07:38 AM,15.0,64.0,57.0
2025-04-09T07:38:13.185406,07:38 AM,15.0,64.0,58.0
2025-04-09T07:38:14.746995,07:38 AM,15.0,64.0,57.0
2025-04-09T07:38:16.325815,07:38 AM,15.0,64.0,58.0
2025-04-09T07:38:17.891215,07:38 AM,15.0,64.0,58.0
2025-04-09T07:38:19.452418,07:38 AM,15.0,64.0,60.0
2025-04-09T07:38:21.021312,07:38 AM,15.0,64.0,60.0
2025-04-09T07:38:22.591828,07:38 AM,15.0,64.0,61.0
2025-04-09T07:38:24.168846,07:38 AM,15.0,64.0,61.0
2025-04-09T07:38:25.729232,07:38 AM,15.0,64.0,62.0
2025-04-09T07:38:27.309372,07:38 AM,15.0,64.0,61.0
2025-04-09T07:38:28.880048,07:38 AM,15.0,64.0,62.0
